property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,servant_room,store_room,facing,furnishing_type,age_possession,area_bedroom_ratio,luxury_category,floornum_category
Independent Builder Floor,Signature Global Park,Greater Gurugram - Sohna Region,0.75,822.0,2,2,3,0,0,north-east,Unfurnished,Relatively New,411.0,Budget,Low-rise
Flat,mahindra luminare,sector 59,7.0,1632.0,3,3,3,1,1,east,Unfurnished,Relatively New,544.0,Luxury,Mid-rise
Independent House,"Farukhnagar, Gurgaon",outskirt,1.2,1800.0,5,4,3,0,0,south-east,Unfurnished,Relatively New,360.0,Budget,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,4.25,3285.0,4,5,3,1,0,west,Semi-Furnished,Relatively New,821.25,Semi-Luxury,Low-rise
Independent Builder Floor,Florence Residency,sector 57,2.98,2430.0,4,4,2,0,0,north,Semi-Furnished,New Property,607.5,Budget,Low-rise
Flat,paras dews,sector 106,1.9,1900.0,3,4,3,1,0,north-east,Unfurnished,Relatively New,633.3333333333334,Luxury,Mid-rise
Independent House,"Pataudi Road, Gurgaon",sector 11,1.1,1680.0,4,4,2,0,0,south-west,Unfurnished,Moderately Old,420.0,Budget,Low-rise
Independent House,Vipul Tatvam Villa,sector 48,8.75,2583.0,3,4,3,1,0,north,Semi-Furnished,Moderately Old,861.0,Budget,Low-rise
Flat,emaar palm gardens,sector 83,2.65,1900.0,3,3,3,0,0,not available,Unfurnished,Relatively New,633.3333333333334,Semi-Luxury,Low-rise
Independent House,"Surat Nagar Phase 1, Gurgaon",sector 104,0.8,1100.0,2,2,1,0,0,east,Unfurnished,New Property,550.0,Semi-Luxury,Low-rise
Independent Builder Floor,Ansal API Versalia,sector 67,1.99,1638.0,3,3,2,1,0,east,Semi-Furnished,Relatively New,546.0,Luxury,Low-rise
Independent Builder Floor,DLF Garden City Floors,sector 92,3.1,2700.0,4,4,2,1,0,north,Semi-Furnished,New Property,675.0,Budget,Low-rise
Independent Builder Floor,DLF City Plots,sector 26,6.2,4500.0,4,5,3+,0,0,east,Semi-Furnished,New Property,1125.0,Budget,Low-rise
Flat,dlf the primus,sector 82,3.75,2086.0,3,4,3+,1,0,east,Furnished,Relatively New,695.3333333333334,Luxury,High-rise
Independent Builder Floor,Independent Floors at DLF City Phase 4,sector 28,4.2,3240.0,4,4,2,0,0,north-east,Unfurnished,New Property,810.0,Budget,Low-rise
Independent House,International City by Sobha Phase 1,sector 109,8.5,2430.0,5,5,3+,1,0,not available,Semi-Furnished,Relatively New,486.0,Semi-Luxury,Low-rise
Independent Builder Floor,DLF Floors Phase 3,sector 24,4.15,2844.0,4,4,3+,1,0,north-west,Semi-Furnished,New Property,711.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,2.66,1800.0,3,3,2,1,0,north-west,Semi-Furnished,New Property,600.0,Semi-Luxury,Low-rise
Independent House,Emaar MGF Marbella,sector 66,18.5,3240.0,6,6,3+,1,0,north-east,Semi-Furnished,Relatively New,540.0,Budget,Low-rise
Independent Builder Floor,DLF Regal Gardens,sector 90,2.0,1720.0,3,3,2,1,0,north-east,Semi-Furnished,New Property,573.3333333333334,Semi-Luxury,Low-rise
Independent House,"DLF Phase 4, Gurgaon",sector 28,5.7,2466.0,4,4,3+,1,0,east,Unfurnished,New Property,616.5,Semi-Luxury,Low-rise
Flat,unitech escape,sector 50,3.25,1983.0,3,4,2,0,1,north,Unfurnished,Moderately Old,661.0,Semi-Luxury,Low-rise
Independent House,"railyway road gurgaon, Gurgaon",sector 11,2.38,2205.0,3,2,1,1,0,not available,Furnished,Moderately Old,735.0,Budget,Low-rise
Flat,ashiana anmol,Greater Gurugram - Sohna Region,2.12,1884.0,3,3,2,1,0,north-east,Unfurnished,New Property,628.0,Semi-Luxury,Low-rise
Flat,cghs aravali homes,sector 54,3.25,2250.0,3,4,3,1,0,north-east,Unfurnished,Moderately Old,750.0,Semi-Luxury,Mid-rise
Flat,conscient heritage max,sector 102,3.7,2554.0,4,5,3+,1,0,north-east,Unfurnished,Relatively New,638.5,Luxury,High-rise
Independent Builder Floor,Smart World Gems,sector 89,1.65,1494.0,3,3,3,0,1,north-west,Unfurnished,New Property,498.0,Budget,Low-rise
Independent House,"Sector 14, Gurgaon",sector 14,10.5,3150.0,3,3,3,0,0,north-west,Unfurnished,Old Property,1050.0,Semi-Luxury,Low-rise
Independent Builder Floor,Smart World Gems,sector 89,1.35,1103.0,2,2,2,0,0,east,Unfurnished,Relatively New,551.5,Luxury,Low-rise
Independent House,"DLF Phase 4, Gurgaon",sector 28,23.0,4500.0,6,7,3+,1,1,north-east,Semi-Furnished,Moderately Old,750.0,Luxury,Low-rise
Independent Builder Floor,ultra luxury builder floor,sector 25,3.7,2250.0,3,3,2,1,1,north-west,Semi-Furnished,Relatively New,750.0,Luxury,Low-rise
Independent House,"Basai Village, Gurgaon",outskirt,0.6,540.0,2,2,1,0,0,not available,Unfurnished,Relatively New,270.0,Budget,Low-rise
Independent House,"DLF Phase 3, Gurgaon",sector 24,15.75,4500.0,6,7,3+,1,1,north-east,Semi-Furnished,Moderately Old,750.0,Luxury,Low-rise
Flat,bptp freedom park life,sector 57,2.55,1650.0,2,2,3,0,0,west,Semi-Furnished,Moderately Old,825.0,Luxury,Mid-rise
Independent Builder Floor,Emaar Emerald Hills,sector 65,2.71,1800.0,2,3,2,0,1,west,Semi-Furnished,Relatively New,900.0,Luxury,Low-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.9,2700.0,4,4,2,1,0,east,Unfurnished,New Property,675.0,Budget,Low-rise
Independent House,"Nirvana Country, Gurgaon",sector 50,9.25,1800.0,4,4,3+,1,1,east,Semi-Furnished,Relatively New,450.0,Luxury,Low-rise
Flat,eldeco accolade,Greater Gurugram - Sohna Region,1.35,1457.0,2,2,3+,0,0,east,Unfurnished,Relatively New,728.5,Semi-Luxury,Low-rise
Independent Builder Floor,Super Luxury Fabulous Construction,sector 25,4.4,2844.0,4,4,2,0,0,south-west,Semi-Furnished,New Property,711.0,Semi-Luxury,Low-rise
Flat,sobha city,sector 108,3.32,1711.0,3,3,2,0,0,west,Unfurnished,Relatively New,570.3333333333334,Semi-Luxury,Mid-rise
Flat,emaar gurgaon greens,sector 102,1.9,1650.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,550.0,Luxury,Mid-rise
Flat,godrej meridien,sector 106,2.7,1855.0,3,3,3,0,0,west,Unfurnished,New Property,618.3333333333334,Luxury,Low-rise
Flat,vipul greens,sector 48,4.25,2195.0,3,4,3,1,1,north-east,Unfurnished,Moderately Old,731.6666666666666,Luxury,Low-rise
Flat,la vida by tata housing,sector 113,2.05,1276.0,2,2,2,0,0,north,Unfurnished,Relatively New,638.0,Budget,Low-rise
Flat,m3m heights,sector 65,3.67,1932.0,3,3,2,0,0,north-west,Unfurnished,Relatively New,644.0,Semi-Luxury,High-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.1,1359.0,2,2,2,0,0,north-east,Unfurnished,New Property,679.5,Luxury,Mid-rise
Independent Builder Floor,"South City 2, Gurgaon",sector 49,3.5,3240.0,4,4,2,1,0,north-east,Semi-Furnished,Relatively New,810.0,Budget,Low-rise
Independent Builder Floor,Ultra Luxurious Builder Floor,sector 26,4.2,2700.0,3,3,2,1,1,east,Semi-Furnished,Relatively New,900.0,Luxury,Low-rise
Flat,unitech fresco,sector 50,2.25,1418.0,2,2,3+,0,0,north-west,Furnished,Old Property,709.0,Luxury,Mid-rise
Flat,experion windchants,sector 112,4.45,2802.0,3,3,2,1,0,north,Unfurnished,New Property,934.0,Luxury,Mid-rise
Independent Builder Floor,Brand New Builder Floor,sector 28,4.1,2430.0,3,4,2,1,0,east,Semi-Furnished,New Property,810.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 67, Gurgaon",sector 67,2.65,2250.0,3,3,1,1,0,not available,Semi-Furnished,New Property,750.0,Budget,Low-rise
Independent Builder Floor,Central Park The Orchard,Greater Gurugram - Sohna Region,3.6,2129.0,3,3,2,1,0,east,Furnished,New Property,709.6666666666666,Luxury,Low-rise
Independent Builder Floor,north east facing,sector 41,3.8,3240.0,4,4,2,0,0,north-east,Semi-Furnished,New Property,810.0,Budget,Low-rise
Flat,godrej habitat,sector 3,1.44,1444.0,2,2,3,0,0,east,Unfurnished,New Property,722.0,Semi-Luxury,Mid-rise
Independent House,"DLF Phase 3, Gurgaon",sector 24,5.9,1467.0,5,6,3+,1,0,north-east,Semi-Furnished,Old Property,293.4,Luxury,Low-rise
Independent House,Unitech Uniworld Resorts,sector 33,12.0,4500.0,5,6,3+,1,1,north-east,Semi-Furnished,Moderately Old,900.0,Luxury,Low-rise
Independent House,Unitech Deerwood Chase,sector 50,9.4,2160.0,3,3,2,1,0,north-east,Unfurnished,Old Property,720.0,Semi-Luxury,Low-rise
Flat,mahindra luminare,sector 59,7.3,2985.0,3,4,2,1,0,north-east,Semi-Furnished,Relatively New,995.0,Budget,Mid-rise
Flat,m3m skycity,sector 65,3.85,2054.0,3,3,3,1,1,north-east,Unfurnished,New Property,684.6666666666666,Luxury,High-rise
Independent Builder Floor,220 n block mayfield garden,sector 51,2.75,2200.0,3,4,2,1,0,east,Semi-Furnished,Relatively New,733.3333333333334,Budget,Low-rise
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,3.4,3150.0,4,4,2,1,0,south-east,Semi-Furnished,New Property,787.5,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 61, Gurgaon",sector 61,2.79,1549.0,3,3,2,0,0,not available,Unfurnished,Relatively New,516.3333333333334,Semi-Luxury,Low-rise
Flat,emaar imperial gardens,sector 102,2.4,2025.0,3,4,3+,1,0,north-east,Semi-Furnished,Relatively New,675.0,Luxury,Mid-rise
Independent House,"Sector 9, Gurgaon",sector 9,2.7,900.0,2,2,2,1,0,east,Furnished,Moderately Old,450.0,Luxury,Low-rise
Independent House,"Sector 47, Gurgaon",sector 47,10.5,2367.0,9,10,3+,1,0,north,Semi-Furnished,Relatively New,263.0,Budget,Low-rise
Independent House,Oriental Homes,sector 57,5.7,2160.0,3,4,2,0,0,west,Unfurnished,Old Property,720.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Ardee City, Gurgaon",sector 52,3.5,2700.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,675.0,Semi-Luxury,Low-rise
Independent House,"Sector 43, Gurgaon",sector 43,14.5,3150.0,16,16,3+,1,1,north,Semi-Furnished,Relatively New,196.875,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,3.15,3078.0,4,4,2,1,0,south,Unfurnished,Relatively New,769.5,Budget,Low-rise
Independent Builder Floor,SUPER LUXURY FLOOR CHEAPEST DEAL,sector 25,3.89,2400.0,4,4,2,1,0,south-east,Unfurnished,Relatively New,600.0,Budget,Low-rise
Flat,dlf new town heights 2,sector 86,2.5,2364.0,4,4,3+,1,0,east,Unfurnished,Moderately Old,591.0,Luxury,Mid-rise
Flat,conscient elevate,sector 59,6.6,2595.0,3,3,2,0,0,south-east,Unfurnished,Relatively New,865.0,Luxury,Low-rise
Independent House,BPTP Amstoria,sector 102,5.45,3500.0,4,4,3+,1,0,north,Unfurnished,Relatively New,875.0,Semi-Luxury,Low-rise
Flat,ss the leaf,sector 85,3.4,2812.0,4,5,3+,1,0,east,Unfurnished,Relatively New,703.0,Semi-Luxury,High-rise
Independent House,"Sector 31, Gurgaon",sector 31,4.25,1449.0,6,6,2,0,0,south-east,Unfurnished,Old Property,241.5,Budget,Low-rise
Independent House,Mayfield Gardens,sector 50,9.8,2988.0,4,4,3+,1,1,north-west,Semi-Furnished,Relatively New,747.0,Semi-Luxury,Low-rise
Independent House,Unitech Alder Grove,sector 71,9.4,4500.0,4,5,3+,1,0,east,Unfurnished,Moderately Old,1125.0,Budget,Low-rise
Flat,dlf the skycourt,sector 86,2.35,1929.0,3,3,3,0,1,east,Semi-Furnished,Relatively New,643.0,Luxury,Mid-rise
Flat,godrej summit,sector 104,1.19,832.0,2,2,3,0,0,west,Unfurnished,Moderately Old,416.0,Semi-Luxury,Mid-rise
Independent House,Landmark Avana,sector 95,1.31,1516.0,3,2,2,0,1,north,Unfurnished,Relatively New,505.3333333333333,Budget,Low-rise
Independent Builder Floor,DLF Garden City Floors,sector 92,3.0,1900.0,4,4,3,1,1,north,Unfurnished,Relatively New,475.0,Semi-Luxury,Low-rise
Flat,m3m heights,sector 65,3.67,1932.0,3,3,2,1,0,north,Unfurnished,Relatively New,644.0,Semi-Luxury,High-rise
Flat,emaar mgf emerald floors premier,sector 65,3.18,1650.0,3,3,3,1,0,east,Unfurnished,Relatively New,550.0,Luxury,Low-rise
Independent House,"B1 Block Sector 57, Gurgaon",sector 57,7.25,2500.0,5,5,2,1,0,north-west,Unfurnished,Moderately Old,500.0,Budget,Low-rise
Flat,m3m golfestate,sector 65,9.8,4366.0,4,4,3+,1,1,north,Semi-Furnished,Relatively New,1091.5,Luxury,Mid-rise
Independent House,"Rosewood City, Gurgaon",sector 49,4.6,1449.0,6,6,2,0,0,west,Unfurnished,Relatively New,241.5,Budget,Low-rise
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,2.8,2370.0,3,3,2,1,0,south,Unfurnished,Relatively New,790.0,Budget,Low-rise
Independent House,"Shivaji Nagar, Gurgaon",sector 11,2.4,1125.0,6,2,3,0,0,not available,Unfurnished,Old Property,187.5,Budget,Low-rise
Flat,m3m skywalk,sector 74,3.5,2074.0,3,3,3+,0,0,north-east,Furnished,Relatively New,691.3333333333334,Luxury,High-rise
Flat,adani m2k oyster grande,sector 102,3.6,3198.0,4,5,3+,1,0,north-west,Unfurnished,Relatively New,799.5,Luxury,Low-rise
Independent Builder Floor,"Block E Greenwood City, Gurgaon",sector 46,4.2,2430.0,3,4,2,1,0,north,Semi-Furnished,New Property,810.0,Budget,Low-rise
Flat,emaar imperial gardens,sector 102,2.4,2000.0,3,4,2,1,0,north-east,Unfurnished,Relatively New,666.6666666666666,Semi-Luxury,Mid-rise
Flat,vatika sovereign next,sector 82,5.43,4350.0,4,4,3,1,0,east,Unfurnished,Old Property,1087.5,Luxury,Mid-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,3.25,1940.0,3,3,2,0,0,north-east,Semi-Furnished,New Property,646.6666666666666,Semi-Luxury,Low-rise
Independent House,Emaar MGF Marbella,sector 66,14.49,2403.0,4,5,3+,1,0,east,Semi-Furnished,Relatively New,600.75,Luxury,Low-rise
Flat,m3m woodshire,sector 107,1.8,1943.0,3,3,3,0,0,north-west,Unfurnished,Relatively New,647.6666666666666,Budget,Mid-rise
Independent House,DLF City Plots,sector 26,28.0,3960.0,5,6,3+,1,1,west,Semi-Furnished,Moderately Old,792.0,Semi-Luxury,Low-rise
Flat,umang winter hills,sector 77,1.4,1342.0,2,2,2,0,1,north,Unfurnished,Relatively New,671.0,Luxury,Mid-rise
Flat,hero homes,sector 104,1.6,1099.0,2,2,2,0,0,north-east,Unfurnished,New Property,549.5,Luxury,Mid-rise
Independent House,"Sector 9A, Gurgaon",sector 9,3.75,1440.0,3,3,1,0,1,north-east,Unfurnished,Moderately Old,480.0,Budget,Low-rise
Flat,rof ananda,sector 95,0.64,645.0,2,2,2,0,0,north-east,Unfurnished,Relatively New,322.5,Budget,Mid-rise
Independent House,Suncity Vatsal Valley,outskirt,1.4,1130.0,2,2,2,0,1,east,Unfurnished,New Property,565.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Nirvana Country, Gurgaon",sector 50,4.9,3240.0,4,4,2,0,0,east,Semi-Furnished,Relatively New,810.0,Semi-Luxury,Low-rise
Independent House,"Sector 53, Gurgaon",sector 53,4.0,2250.0,5,5,2,0,0,not available,Unfurnished,Relatively New,450.0,Budget,Low-rise
Independent House,Eros Rosewood City,sector 49,5.0,2000.0,4,3,3,0,1,east,Unfurnished,Old Property,500.0,Budget,Low-rise
Flat,pareena mi casa,sector 68,1.79,1483.0,3,2,3,0,0,east,Unfurnished,New Property,494.3333333333333,Semi-Luxury,Mid-rise
Independent Builder Floor,"Suncity, Gurgaon",sector 54,7.0,3240.0,4,5,3+,0,0,north-east,Semi-Furnished,New Property,810.0,Budget,Low-rise
Flat,smart world gems,sector 89,1.65,1494.0,3,3,3,1,0,east,Unfurnished,New Property,498.0,Semi-Luxury,Low-rise
Flat,vatika gurgaon 21,sector 83,1.44,1245.0,2,2,2,0,0,east,Unfurnished,Moderately Old,622.5,Luxury,Low-rise
Flat,smart world gems,sector 89,1.65,1494.0,3,3,3,0,0,east,Unfurnished,New Property,498.0,Semi-Luxury,Low-rise
Flat,dlf the ultima,sector 81,3.75,2100.0,3,3,3,1,0,north-east,Unfurnished,Relatively New,700.0,Luxury,Mid-rise
Independent House,"Sector 4, Gurgaon",sector 4,4.75,2250.0,6,6,2,0,1,north-east,Unfurnished,Moderately Old,375.0,Budget,Low-rise
Independent House,Exclusive Ready to Move Villa,sector 41,12.0,3240.0,4,5,3+,1,1,north-east,Semi-Furnished,Moderately Old,810.0,Luxury,Low-rise
Independent Builder Floor,Luxurious Builder floor In South City 2,sector 49,3.1,2162.0,3,4,2,1,0,east,Semi-Furnished,New Property,720.6666666666666,Semi-Luxury,Low-rise
Flat,dlf the primus,sector 82,2.9,1818.0,3,3,3+,0,0,north,Unfurnished,Moderately Old,606.0,Semi-Luxury,Mid-rise
Flat,mapsko royale ville,sector 82,5.0,5254.0,5,6,3+,0,0,north-east,Unfurnished,Relatively New,1050.8,Budget,Mid-rise
Flat,tulip yellow,sector 69,2.4,1704.0,3,3,3,0,0,north-east,Unfurnished,New Property,568.0,Semi-Luxury,Mid-rise
Flat,ild grand,sector 37,1.58,1790.0,3,3,3,0,0,west,Unfurnished,Relatively New,596.6666666666666,Budget,Mid-rise
Independent Builder Floor,"Sector 9, Gurgaon",sector 9,2.7,2500.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,833.3333333333334,Budget,Low-rise
Flat,dlf regency park 2,sector 28,3.7,1777.0,4,4,2,1,0,east,Unfurnished,Old Property,444.25,Semi-Luxury,Low-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,8.0,4500.0,4,4,3,1,0,north,Unfurnished,New Property,1125.0,Budget,Low-rise
Flat,indiabulls enigma,sector 110,5.55,3880.0,5,5,3,1,0,north,Unfurnished,Relatively New,776.0,Semi-Luxury,Low-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,9.0,2700.0,4,5,3+,0,0,north-east,Unfurnished,Relatively New,675.0,Budget,Low-rise
Flat,hero homes,sector 104,1.85,1359.0,3,3,3,0,0,north,Semi-Furnished,New Property,453.0,Luxury,High-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,8.75,3240.0,5,5,3+,0,1,north,Unfurnished,Relatively New,648.0,Semi-Luxury,Low-rise
Independent Builder Floor,"U Block DLF Phase 3, Gurgaon",sector 24,4.5,2844.0,4,4,3+,1,1,east,Semi-Furnished,New Property,711.0,Luxury,Low-rise
Flat,emaar mgf the palm drive,sector 66,6.4,3300.0,3,3,3+,1,0,east,Semi-Furnished,Relatively New,1100.0,Semi-Luxury,Mid-rise
Independent House,Sector 7,sector 7,3.8,2300.0,3,3,2,0,0,north-east,Unfurnished,Relatively New,766.6666666666666,Budget,Low-rise
Independent Builder Floor,"Sushant Lok Phase 2, Gurgaon",sector 55,5.02,4500.0,4,5,2,1,0,north,Semi-Furnished,New Property,1125.0,Budget,Low-rise
Flat,ild grand,sector 37,1.65,1790.0,3,3,3,0,0,south-east,Unfurnished,New Property,596.6666666666666,Budget,Mid-rise
Independent House,International City by SOBHA Phase 2,sector 109,8.0,5400.0,4,4,3,1,0,north-east,Unfurnished,Relatively New,1350.0,Semi-Luxury,Low-rise
Flat,silverglades the melia,Greater Gurugram - Sohna Region,1.65,1845.0,3,3,3+,1,0,north-east,Unfurnished,New Property,615.0,Semi-Luxury,Mid-rise
Flat,pareena express heights,sector 99,2.0,1865.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,621.6666666666666,Luxury,Mid-rise
Flat,conscient elevate,sector 59,4.8,2095.0,3,3,2,1,0,north,Unfurnished,New Property,698.3333333333334,Semi-Luxury,High-rise
Independent Builder Floor,"South City 1, Gurgaon",sector 41,3.1,2160.0,3,3,2,1,0,north-east,Semi-Furnished,New Property,720.0,Budget,Low-rise
Independent Builder Floor,TOP FLOOR TERRACE GARDEN,sector 25,5.5,3000.0,4,5,2,1,0,east,Semi-Furnished,New Property,750.0,Budget,Low-rise
Flat,silverglades the melia,Greater Gurugram - Sohna Region,1.4,1425.0,2,2,3,0,0,north,Unfurnished,New Property,712.5,Semi-Luxury,Mid-rise
Independent House,Vipul Tatvam Villa,sector 48,10.5,3240.0,4,4,3,1,1,east,Semi-Furnished,Relatively New,810.0,Luxury,Low-rise
Independent Builder Floor,Emaar Emerald Hills,sector 65,6.65,3000.0,4,4,3+,1,0,north-east,Unfurnished,New Property,750.0,Budget,Low-rise
Independent Builder Floor,SS Linden Floors,sector 84,3.0,2800.0,4,4,3+,1,0,east,Unfurnished,New Property,700.0,Semi-Luxury,Low-rise
Flat,pioneer urban presidia,sector 62,10.0,4480.0,4,5,3,1,0,north,Unfurnished,Relatively New,1120.0,Semi-Luxury,Mid-rise
Independent Builder Floor,SS Linden Floors,sector 84,3.2,2700.0,4,4,2,1,0,north,Unfurnished,Relatively New,675.0,Budget,Low-rise
Flat,puri diplomatic greens,sector 111,6.35,4500.0,4,6,2,1,0,east,Unfurnished,Relatively New,1125.0,Semi-Luxury,Mid-rise
Independent House,Sector 14 RWA,sector 14,4.25,1440.0,6,6,3+,0,0,west,Unfurnished,Moderately Old,240.0,Budget,Low-rise
Flat,bptp park serene,sector 37,2.65,2450.0,4,4,3+,1,0,east,Unfurnished,Relatively New,612.5,Luxury,Low-rise
Independent House,"DLF Phase 4, Gurgaon",sector 28,12.5,3240.0,4,5,3+,1,0,north-west,Unfurnished,Moderately Old,810.0,Budget,Low-rise
Flat,bestech altura,sector 79,2.8,2150.0,3,4,3,1,0,north-east,Unfurnished,New Property,716.6666666666666,Semi-Luxury,Low-rise
Flat,lotus elise,sector 99,1.48,1450.0,2,2,2,1,0,north-east,Unfurnished,Relatively New,725.0,Semi-Luxury,Mid-rise
Independent House,Orchid Island,sector 51,2.65,2880.0,3,4,3,0,1,north-east,Unfurnished,Moderately Old,960.0,Semi-Luxury,Low-rise
Independent House,Uppal South End,Sohna Road Belt,2.0,1400.0,3,2,2,0,0,not available,Unfurnished,Moderately Old,466.6666666666667,Budget,Low-rise
Flat,ats triumph,sector 104,3.9,3150.0,4,4,3+,1,0,not available,Unfurnished,Relatively New,787.5,Budget,Mid-rise
Independent Builder Floor,Ansal API Esencia,sector 67,1.55,1450.0,3,2,3,0,0,east,Unfurnished,Relatively New,483.3333333333333,Luxury,Low-rise
Independent House,International City by SOBHA Phase 2,sector 109,9.0,4500.0,4,6,3+,1,0,north-west,Unfurnished,New Property,1125.0,Luxury,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,2.56,2430.0,3,3,2,0,0,north-east,Unfurnished,Relatively New,810.0,Budget,Low-rise
Independent Builder Floor,ARJUN MARG DLF 1,sector 26,6.0,4560.0,4,5,2,1,0,east,Semi-Furnished,New Property,1140.0,Budget,Low-rise
Independent Builder Floor,Smart World Gems,sector 89,1.59,1494.0,3,3,2,0,0,east,Unfurnished,New Property,498.0,Semi-Luxury,Low-rise
Flat,mahindra aura,sector 110,2.65,2042.0,3,3,3+,1,0,north,Unfurnished,Relatively New,680.6666666666666,Budget,Mid-rise
Independent Builder Floor,Central Park Flower Valley Flamingo Floors,sector 33,1.34,1093.0,2,2,3+,0,0,north-east,Unfurnished,Relatively New,546.5,Semi-Luxury,Low-rise
Independent Builder Floor,Ansal API Versalia,sector 67,2.6,2430.0,4,4,2,1,0,east,Semi-Furnished,Relatively New,607.5,Luxury,Low-rise
Flat,dlf the ultima,sector 81,4.9,2872.0,4,4,3,1,0,north-east,Furnished,Relatively New,718.0,Luxury,Mid-rise
Independent House,"Sushant Lok Phase 1, Gurgaon",sector 43,12.5,3762.0,6,7,3+,1,1,north-east,Semi-Furnished,Moderately Old,627.0,Luxury,Low-rise
Independent Builder Floor,Ansals Palam Vihar,Old Gurgaon,2.85,3240.0,4,4,2,1,1,east,Unfurnished,Relatively New,810.0,Semi-Luxury,Low-rise
Flat,antriksh heights,sector 84,1.7,2095.0,4,4,3,0,0,east,Unfurnished,Relatively New,523.75,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,3.0,3078.0,4,5,2,1,1,west,Unfurnished,Relatively New,769.5,Budget,Low-rise
Flat,smart world orchard street,sector 61,2.6,1630.0,3,4,3,0,0,east,Unfurnished,New Property,543.3333333333334,Luxury,Low-rise
Flat,m3m golfestate,sector 65,8.6,4000.0,4,4,3,1,0,east,Unfurnished,Relatively New,1000.0,Semi-Luxury,Low-rise
Independent House,"Sector 15 Part 1, Gurgaon",sector 15,14.0,3078.0,9,9,2,0,0,north-west,Unfurnished,Relatively New,342.0,Budget,Low-rise
Independent House,Vipul Tatvam Villa,sector 48,10.53,4000.0,4,5,3+,1,0,north-east,Semi-Furnished,Old Property,1000.0,Budget,Low-rise
Independent House,Emaar MGF Marbella,sector 66,18.0,3150.0,5,6,2,1,1,north-east,Unfurnished,Relatively New,630.0,Luxury,Low-rise
Independent House,"Sector 39, Gurgaon",sector 39,4.0,900.0,3,3,2,0,0,south,Unfurnished,Old Property,300.0,Budget,Low-rise
Independent Builder Floor,DLF Amaltas Drive,sector 28,8.0,3200.0,4,5,3+,1,0,north,Unfurnished,New Property,800.0,Budget,Low-rise
Independent House,"Sector 9A, Gurgaon",sector 9,9.4,3078.0,11,11,3+,1,0,north-east,Furnished,Moderately Old,279.8181818181818,Semi-Luxury,Low-rise
Flat,central park resorts,sector 48,5.3,1667.0,2,2,3+,0,0,east,Unfurnished,Relatively New,833.5,Semi-Luxury,Mid-rise
Flat,conscient elevate,sector 59,8.7,3395.0,4,4,3,1,0,north-east,Semi-Furnished,New Property,848.75,Luxury,High-rise
Independent Builder Floor,Ardee City,sector 52,2.4,1700.0,4,4,3+,0,0,east,Semi-Furnished,New Property,425.0,Budget,Low-rise
Independent House,"Block J Pocket C Palam Vihar, Gurgaon",Old Gurgaon,12.5,4500.0,5,6,2,0,0,east,Unfurnished,Old Property,900.0,Budget,Low-rise
Independent House,"Sector 23, Gurgaon",sector 23,10.49,4293.0,2,1,0,0,0,south-east,Unfurnished,Old Property,2146.5,Budget,Low-rise
Flat,puri diplomatic greens,sector 111,3.75,2200.0,3,4,2,1,0,north,Unfurnished,Moderately Old,733.3333333333334,Luxury,High-rise
Independent House,"Ardee City, Gurgaon",sector 52,5.81,2160.0,9,9,3+,0,0,not available,Unfurnished,Moderately Old,240.0,Budget,Low-rise
Independent House,"Rajiv Nagar, Gurgaon",sector 13,0.85,2250.0,6,5,2,0,0,north,Unfurnished,Moderately Old,375.0,Budget,Low-rise
Flat,pyramid fusion homes,sector 70,0.78,591.0,2,2,1,0,0,north,Unfurnished,New Property,295.5,Budget,Mid-rise
Independent Builder Floor,SS Linden Floors,sector 84,3.4,2700.0,4,4,2,1,0,north-east,Unfurnished,New Property,675.0,Luxury,Low-rise
Flat,brisk lumbini terrace homes,sector 109,2.4,2836.0,4,5,3+,1,0,east,Unfurnished,Relatively New,709.0,Luxury,Mid-rise
Independent House,Eros Rosewood City,sector 49,25.0,4815.0,6,6,0,0,0,not available,Unfurnished,Relatively New,802.5,Budget,Low-rise
